date_time,number_of_rentals
2021-04-01,97292.43120636046
2021-04-02,93307.69373238087
2021-04-03,75876.80195721984
2021-04-04,77000.44859874249
2021-04-05,105556.88030920178
2021-04-06,102614.02670512348
2021-04-07,104168.87838278711
2021-04-08,100552.42416536063
2021-04-09,108325.1398999542
2021-04-10,104153.74835503101
2021-04-11,103336.39548549801
2021-04-12,77719.46990216523
2021-04-13,79178.94631180912
2021-04-14,98248.23438803107
2021-04-15,102109.04558572173
2021-04-16,80966.5447506234
2021-04-17,84400.1420096606
2021-04-18,99695.85049818456
2021-04-19,108989.08212616295
2021-04-20,115750.38795350492
2021-04-21,116271.98445752263
2021-04-22,106858.15477710217
2021-04-23,100962.81258600205
2021-04-24,107420.84755408764
2021-04-25,108114.6827166751
2021-04-26,105694.05756606162
2021-04-27,101349.6145541668
2021-04-28,95291.84903550148
2021-04-29,100681.62493570894
2021-04-30,82956.18409939855
2021-05-01,71885.5556229502
2021-05-02,105121.44329293072
2021-05-03,109544.25486943871
2021-05-04,86224.6620221585
2021-05-05,96526.16437134892
2021-05-06,108144.5159831196
2021-05-07,90034.66403352469
2021-05-08,99278.3542240709
2021-05-09,104255.95319722593
2021-05-10,106347.69263453782
2021-05-11,120237.48569697142
2021-05-12,117623.39749880135
2021-05-13,124168.63728319108
2021-05-14,120844.46214606613
2021-05-15,99788.77077369392
2021-05-16,85316.19751717895
2021-05-17,102589.90902663022
2021-05-18,120387.62369923294
2021-05-19,119072.11152838916
2021-05-20,100533.40568727255
2021-05-21,95783.34205918759
2021-05-22,115835.50335549563
2021-05-23,114265.94506014884
2021-05-24,111246.22209365666
2021-05-25,99472.4890415743
2021-05-26,107702.91205508262
2021-05-27,97938.34467303753
2021-05-28,94586.23612424731
2021-05-29,110474.84507767856
2021-05-30,114691.06793645024
2021-05-31,104704.58256196976
2021-06-01,120142.44170209765
2021-06-02,119133.45986321568
2021-06-03,100621.6322388798
2021-06-04,116100.55753169954
2021-06-05,116426.90304561704
2021-06-06,122027.00692293048
2021-06-07,123512.59462103248
2021-06-08,123022.3567912057
2021-06-09,128285.908407785
2021-06-10,120400.00668217987
2021-06-11,99854.23684886843
2021-06-12,131435.61928736418
2021-06-13,131725.36220435053
2021-06-14,129188.14709340781
2021-06-15,115854.71838116646
2021-06-16,116605.49261455983
2021-06-17,118342.65492004901
2021-06-18,107696.33988419175
2021-06-19,126754.90042787045
2021-06-20,123388.92019393295
2021-06-21,126920.16005851328
2021-06-22,104663.90303894132
2021-06-23,87126.10383626074
2021-06-24,113854.87975209206
2021-06-25,124769.54986387491
2021-06-26,119021.08623183519
2021-06-27,124087.8886250332
2021-06-28,94765.2217951864
2021-06-29,112589.96997054666
2021-06-30,112626.97144598514
