date_time,number_of_rentals
2021-04-01,92132.48221993446
2021-04-02,89123.56548603624
2021-04-03,71816.97319669276
2021-04-04,69185.82506422698
2021-04-05,101296.81991913915
2021-04-06,100376.16169440001
2021-04-07,102680.95511503518
2021-04-08,99602.70488750935
2021-04-09,105018.56212942302
2021-04-10,101541.93045632541
2021-04-11,101280.05714509636
2021-04-12,74792.01031985134
2021-04-13,77982.70262018591
2021-04-14,97592.99723212421
2021-04-15,100548.63044294715
2021-04-16,78149.2488931641
2021-04-17,82589.74173743278
2021-04-18,98012.26371723413
2021-04-19,105925.72732268274
2021-04-20,112621.78119304776
2021-04-21,113803.60245386511
2021-04-22,104275.5713031888
2021-04-23,94897.81200071424
2021-04-24,103127.33553154022
2021-04-25,103433.74416623265
2021-04-26,103108.5017267093
2021-04-27,98624.6420552209
2021-04-28,94410.02402410656
2021-04-29,98037.31362567842
2021-04-30,81668.19466480613
2021-05-01,72505.49205568433
2021-05-02,104246.8227699697
2021-05-03,108358.897996746
2021-05-04,83371.05981191993
2021-05-05,94844.42040202767
2021-05-06,105225.34910301864
2021-05-07,86279.65118632466
2021-05-08,94932.11586423218
2021-05-09,102848.93602191657
2021-05-10,102308.81428129226
2021-05-11,113725.12250617892
2021-05-12,111391.71934828162
2021-05-13,121862.00382048637
2021-05-14,119840.3755864948
2021-05-15,97751.22324735671
2021-05-16,81937.8080195561
2021-05-17,96304.89630454034
2021-05-18,117059.61956290156
2021-05-19,118476.9058489576
2021-05-20,94639.51170499623
2021-05-21,92554.51678121835
2021-05-22,114146.69453430176
2021-05-23,112480.88731236756
2021-05-24,108949.78446096182
2021-05-25,97371.60508681089
2021-05-26,104922.86588346958
2021-05-27,95936.95760683715
2021-05-28,91219.96304665506
2021-05-29,108684.2564586103
2021-05-30,110938.68932382762
2021-05-31,100630.05904240906
2021-06-01,117854.67484524101
2021-06-02,117312.27692049742
2021-06-03,98399.50451373309
2021-06-04,113850.56942032278
2021-06-05,112649.19959638268
2021-06-06,118471.59056799114
2021-06-07,120263.06923025101
2021-06-08,120082.08130608499
2021-06-09,126362.06486670673
2021-06-10,117544.95765326172
2021-06-11,97066.8476100415
2021-06-12,129729.0464379713
2021-06-13,130153.8308570236
2021-06-14,127602.7302678898
2021-06-15,110682.87601280212
2021-06-16,110262.24740935117
2021-06-17,114398.5575106889
2021-06-18,105485.59405752271
2021-06-19,124212.36916099489
2021-06-20,120213.53144331276
2021-06-21,125300.75645980984
2021-06-22,102432.39130265266
2021-06-23,85387.3589605987
2021-06-24,111317.43282903731
2021-06-25,121863.3263759911
2021-06-26,115532.71844659746
2021-06-27,119953.92524412274
2021-06-28,92637.14210220426
2021-06-29,110157.14702989161
2021-06-30,110909.00690358132
