date_time,number_of_rentals
2021-04-01,96253.65887806565
2021-04-02,92314.15487807244
2021-04-03,74625.07605163008
2021-04-04,74959.09382425249
2021-04-05,104326.89742128551
2021-04-06,100678.61230871081
2021-04-07,102793.17705007643
2021-04-08,99409.77478195727
2021-04-09,107336.00780352205
2021-04-10,103113.41938886046
2021-04-11,103447.0092434138
2021-04-12,76871.50988743454
2021-04-13,77530.90692262352
2021-04-14,97434.00035766512
2021-04-15,101677.44382685423
2021-04-16,79742.95935048163
2021-04-17,83387.9668257758
2021-04-18,98015.26136736572
2021-04-19,107398.32864104211
2021-04-20,113776.1070080176
2021-04-21,115239.4491186738
2021-04-22,105488.9255881384
2021-04-23,99027.74268884957
2021-04-24,105446.71634136885
2021-04-25,107025.60515930504
2021-04-26,104904.80884249508
2021-04-27,99780.45196257532
2021-04-28,94325.28210134804
2021-04-29,99630.97091419995
2021-04-30,81775.39541131258
2021-05-01,69797.03006678075
2021-05-02,103630.5134312883
2021-05-03,108934.42197234929
2021-05-04,84639.81411072612
2021-05-05,95196.10775654018
2021-05-06,107434.41157139093
2021-05-07,88703.29175399244
2021-05-08,97584.24887482077
2021-05-09,103324.9827703312
2021-05-10,104350.15599378198
2021-05-11,118553.09828079492
2021-05-12,115751.83396691084
2021-05-13,123175.47905553132
2021-05-14,121000.8109882623
2021-05-15,99514.66378158331
2021-05-16,84391.98661080003
2021-05-17,100569.71494283527
2021-05-18,118685.05083422363
2021-05-19,118509.45506677032
2021-05-20,99125.13080076128
2021-05-21,93656.33890901506
2021-05-22,114426.65263090283
2021-05-23,113041.3818115294
2021-05-24,109665.26179146767
2021-05-25,97878.16031965613
2021-05-26,106795.99447578937
2021-05-27,96559.82372838259
2021-05-28,92546.52021496743
2021-05-29,108651.31959724426
2021-05-30,113416.20920303464
2021-05-31,102963.61230222136
2021-06-01,118448.56341578811
2021-06-02,118202.96504697204
2021-06-03,99084.87497553974
2021-06-04,114749.85379363596
2021-06-05,114862.7376273647
2021-06-06,120301.83219835907
2021-06-07,121748.34024763107
2021-06-08,120948.2709165439
2021-06-09,127702.90045385808
2021-06-10,119231.31575408578
2021-06-11,97694.9285338819
2021-06-12,129860.93065564334
2021-06-13,130530.65246734023
2021-06-14,128176.68782256544
2021-06-15,113912.5311434269
2021-06-16,115622.9267944321
2021-06-17,116809.25288102031
2021-06-18,105597.72298308462
2021-06-19,125491.87429708987
2021-06-20,122243.42366717756
2021-06-21,125928.38037484884
2021-06-22,104226.32357532531
2021-06-23,87131.37977155298
2021-06-24,112628.8385796696
2021-06-25,122810.49727627635
2021-06-26,116875.09215077013
2021-06-27,122611.98552819341
2021-06-28,94506.76317334175
2021-06-29,111371.23260373622
2021-06-30,111497.42508144677
