date_time,number_of_rentals
2021-04-01,65722.5
2021-04-02,61672.1
2021-04-03,30970.666
2021-04-04,41845.113
2021-04-05,74434.13
2021-04-06,74933.734
2021-04-07,77930.81
2021-04-08,70379.19
2021-04-09,75471.516
2021-04-10,73106.95
2021-04-11,74445.23
2021-04-12,45066.625
2021-04-13,44105.11
2021-04-14,72279.3
2021-04-15,72383.734
2021-04-16,40314.688
2021-04-17,49553.984
2021-04-18,70406.64
2021-04-19,73474.54
2021-04-20,77781.125
2021-04-21,83232.21
2021-04-22,82008.305
2021-04-23,66258.805
2021-04-24,75114.87
2021-04-25,82434.09
2021-04-26,80792.06
2021-04-27,70855.46
2021-04-28,65578.82
2021-04-29,75620.02
2021-04-30,47416.78
2021-05-01,25743.844
2021-05-02,68106.29
2021-05-03,84813.586
2021-05-04,54874.742
2021-05-05,59594.645
2021-05-06,82390.64
2021-05-07,58398.35
2021-05-08,72063.38
2021-05-09,72260.75
2021-05-10,71564.71
2021-05-11,92607.836
2021-05-12,87165.266
2021-05-13,92239.305
2021-05-14,83356.09
2021-05-15,65447.867
2021-05-16,41660.76
2021-05-17,78359.88
2021-05-18,91428.12
2021-05-19,91851.33
2021-05-20,77434.766
2021-05-21,57415.613
2021-05-22,99132.195
2021-05-23,95585.1
2021-05-24,93332.24
2021-05-25,64694.496
2021-05-26,71649.664
2021-05-27,68456.055
2021-05-28,70764.6
2021-05-29,76707.82
2021-05-30,91428.78
2021-05-31,74933.28
2021-06-01,85444.57
2021-06-02,96960.46
2021-06-03,66674.9
2021-06-04,74208.016
2021-06-05,77789.12
2021-06-06,98239.93
2021-06-07,101248.016
2021-06-08,93791.62
2021-06-09,99761.39
2021-06-10,95008.07
2021-06-11,70364.93
2021-06-12,99759.01
2021-06-13,100426.99
2021-06-14,102605.59
2021-06-15,87851.22
2021-06-16,80296.36
2021-06-17,88661.64
2021-06-18,87599.18
2021-06-19,104272.305
2021-06-20,96775.24
2021-06-21,99803.23
2021-06-22,79312.07
2021-06-23,66526.414
2021-06-24,80905.43
2021-06-25,93868.82
2021-06-26,92687.4
2021-06-27,98823.195
2021-06-28,65923.55
2021-06-29,62834.273
2021-06-30,56036.62
