일자,중식계,석식계
2021-01-27,1043.8553,411.433
2021-01-28,937.3662,407.7163
2021-01-29,600.01556,219.84409
2021-02-01,1191.7059,521.4595
2021-02-02,985.5556,442.1437
2021-02-03,934.59814,438.0262
2021-02-04,938.1134,422.57333
2021-02-05,642.94214,370.94977
2021-02-08,1206.1045,502.32147
2021-02-09,1028.6107,483.90967
2021-02-10,707.6861,304.68863
2021-02-15,1213.6115,641.1305
2021-02-16,1131.933,596.21295
2021-02-17,1036.679,408.11096
2021-02-18,876.97003,471.91476
2021-02-19,596.15344,375.44092
2021-02-22,1225.3239,649.7934
2021-02-23,1030.3153,570.0062
2021-02-24,893.18243,388.7802
2021-02-25,848.93243,457.33368
2021-02-26,632.6355,242.16083
2021-03-02,1074.7389,562.6108
2021-03-03,977.4687,474.9118
2021-03-04,940.6424,490.21744
2021-03-05,669.07654,373.67502
2021-03-08,1254.6362,636.3399
2021-03-09,1172.7156,690.948
2021-03-10,927.5734,448.49478
2021-03-11,928.5795,449.00922
2021-03-12,694.9546,248.94743
2021-03-15,1282.8312,642.25903
2021-03-16,1032.1184,491.56268
2021-03-17,1015.0209,444.66666
2021-03-18,900.6521,438.1754
2021-03-19,636.61395,288.47394
2021-03-22,1195.9249,600.639
2021-03-23,990.5772,546.5704
2021-03-24,889.6782,391.85135
2021-03-25,820.18475,385.05853
2021-03-26,619.3153,251.59468
2021-03-29,1190.7179,554.7485
2021-03-30,944.2609,465.77905
2021-03-31,911.72784,387.16623
2021-04-01,834.56616,389.6902
2021-04-02,571.44055,269.83566
2021-04-05,1192.2812,512.0955
2021-04-06,1004.7656,448.6391
2021-04-07,979.4404,367.65576
2021-04-08,885.2017,420.46674
2021-04-09,589.7277,233.2841
