일자,중식계,석식계
2021-01-27,1065.0627,399.8692
2021-01-28,1004.09503,377.0242
2021-01-29,593.5448,232.17104
2021-02-01,1160.6886,539.85516
2021-02-02,1013.5857,458.14957
2021-02-03,1063.0431,434.0051
2021-02-04,956.0188,451.36682
2021-02-05,670.3351,351.50717
2021-02-08,1215.0764,579.73047
2021-02-09,978.9292,465.77505
2021-02-10,795.09814,103.37542
2021-02-15,1276.1113,711.6224
2021-02-16,1100.8513,588.6004
2021-02-17,1082.0443,330.3096
2021-02-18,899.94995,492.34116
2021-02-19,692.53827,385.50504
2021-02-22,1217.4227,657.3075
2021-02-23,1053.8234,586.094
2021-02-24,860.50006,304.71378
2021-02-25,807.9172,454.3108
2021-02-26,614.797,285.32074
2021-03-02,1095.2435,641.3278
2021-03-03,1007.03534,368.33707
2021-03-04,942.1155,516.12665
2021-03-05,633.80505,372.60614
2021-03-08,1265.502,710.2282
2021-03-09,1137.5237,685.97107
2021-03-10,1033.5829,395.56815
2021-03-11,924.90643,507.8824
2021-03-12,646.84326,307.07193
2021-03-15,1242.8993,717.6816
2021-03-16,1035.9277,551.8709
2021-03-17,1092.6465,382.44995
2021-03-18,918.3253,485.55008
2021-03-19,612.2779,268.06918
2021-03-22,1240.5831,632.66296
2021-03-23,1008.5858,577.458
2021-03-24,926.4029,388.55258
2021-03-25,854.8621,423.87268
2021-03-26,588.8699,293.11813
2021-03-29,1200.2078,645.1912
2021-03-30,1029.2191,553.77014
2021-03-31,975.4908,415.31787
2021-04-01,826.78485,402.595
2021-04-02,628.96106,267.6994
2021-04-05,1188.6696,575.89185
2021-04-06,988.7197,518.5522
2021-04-07,1027.7767,372.6896
2021-04-08,887.48914,443.61688
2021-04-09,617.6173,288.6191
