일자,중식계,석식계
2021-01-27,1052.988,399.66342
2021-01-28,979.43414,430.8456
2021-01-29,613.2835,238.21959
2021-02-01,1212.2114,558.9586
2021-02-02,1012.32355,469.5447
2021-02-03,1036.9849,476.1054
2021-02-04,965.0847,472.87973
2021-02-05,639.9603,397.1422
2021-02-08,1264.1583,608.4485
2021-02-09,1042.1499,513.91754
2021-02-10,784.2671,214.77519
2021-02-15,1299.0912,718.29614
2021-02-16,1126.7009,625.72675
2021-02-17,1105.9386,427.14978
2021-02-18,928.5762,513.1482
2021-02-19,647.6034,376.13144
2021-02-22,1210.7991,659.47675
2021-02-23,1044.8082,549.95593
2021-02-24,893.3724,423.33456
2021-02-25,884.9557,503.93246
2021-02-26,609.3674,300.62076
2021-03-02,1078.3331,600.06464
2021-03-03,1007.48456,445.11264
2021-03-04,943.09174,531.60345
2021-03-05,653.4087,373.90695
2021-03-08,1233.7764,679.3491
2021-03-09,1123.1038,699.698
2021-03-10,1028.2087,440.18753
2021-03-11,900.3093,530.19824
2021-03-12,683.9136,332.54904
2021-03-15,1231.7406,690.2722
2021-03-16,1025.6847,522.4436
2021-03-17,1078.5623,452.17593
2021-03-18,918.61096,525.2611
2021-03-19,629.16614,310.25006
2021-03-22,1200.7413,618.4071
2021-03-23,968.2097,582.281
2021-03-24,937.945,407.96448
2021-03-25,840.80585,456.12076
2021-03-26,629.8967,303.03275
2021-03-29,1193.4902,612.4308
2021-03-30,935.31696,573.1635
2021-03-31,958.07043,412.7861
2021-04-01,840.40485,403.52942
2021-04-02,600.75726,256.5797
2021-04-05,1199.7252,550.0007
2021-04-06,1006.6042,534.00214
2021-04-07,936.9281,417.1629
2021-04-08,877.13715,428.61868
2021-04-09,606.42664,281.23907
