일자,중식계,석식계
2021-01-27,1060.0322,405.4429
2021-01-28,985.92975,445.71432
2021-01-29,572.9508,214.02577
2021-02-01,1178.0813,529.25757
2021-02-02,988.8614,409.5136
2021-02-03,970.7538,439.77097
2021-02-04,858.78314,385.3629
2021-02-05,651.018,346.9407
2021-02-08,1235.3827,542.22406
2021-02-09,1015.75793,486.5276
2021-02-10,774.73334,221.7731
2021-02-15,1287.3843,658.07605
2021-02-16,1140.5516,637.2063
2021-02-17,1046.7164,371.67953
2021-02-18,890.2435,480.73462
2021-02-19,557.88153,357.96588
2021-02-22,1254.4459,651.7291
2021-02-23,1096.2892,637.12463
2021-02-24,893.9791,338.55872
2021-02-25,841.2089,469.13254
2021-02-26,614.98474,259.27576
2021-03-02,1027.0181,608.3974
2021-03-03,984.6805,395.96548
2021-03-04,933.7146,511.33398
2021-03-05,639.07996,326.4258
2021-03-08,1274.6459,703.2515
2021-03-09,1160.6561,653.77356
2021-03-10,977.23395,377.35278
2021-03-11,903.49115,476.6548
2021-03-12,744.60016,252.8758
2021-03-15,1276.2239,709.62445
2021-03-16,1006.1923,498.0841
2021-03-17,1054.1523,379.6845
2021-03-18,873.60126,439.68527
2021-03-19,583.63794,284.39883
2021-03-22,1181.109,606.3978
2021-03-23,962.70013,533.824
2021-03-24,918.1851,371.24496
2021-03-25,781.27075,388.12692
2021-03-26,606.78876,279.34155
2021-03-29,1200.7849,570.6053
2021-03-30,936.4467,484.90643
2021-03-31,971.6666,357.9651
2021-04-01,793.7138,378.22412
2021-04-02,591.0332,266.20016
2021-04-05,1152.8035,546.58984
2021-04-06,981.5713,488.3501
2021-04-07,1025.3528,342.03897
2021-04-08,857.37067,434.43454
2021-04-09,584.4725,226.78624
