present,numbers,dayoff,trip,trip2,요일,year,month,year_month,lunch_bob,lunch_soup,lunch_main,dinner_bob,dinner_soup,dinner_main,중식계,석식계,total
2163,2601,50,150,238,0,2016,2,201602,밥,오징어찌개,쇠불고기,밥,육개장,자반고등어구이,1039.0,331.0,1370.0
2059,2601,50,173,319,1,2016,2,201602,밥,김치찌개,가자미튀김,어묵국,유산슬,아삭고추무침,867.0,560.0,1427.0
2254,2601,56,180,111,2,2016,2,201602,카레덮밥,팽이장국,치킨핑거,밥,청국장찌개,황태양념구이,1017.0,573.0,1590.0
1922,2601,104,220,355,3,2016,2,201602,밥,쇠고기무국,주꾸미볶음,우동,멕시칸샐러드,군고구마,978.0,525.0,1503.0
2108,2601,278,181,34,4,2016,2,201602,밥,떡국,돈육씨앗강정,밥,차돌박이찌개,닭갈비,925.0,330.0,1255.0
1658,2601,383,143,417,3,2016,2,201602,밥,시래기국,훈제오리구이,참치회덮밥,맑은국,군만두,1045.0,550.0,1595.0
1963,2601,389,156,93,4,2016,2,201602,밥,꽃게탕,돈육굴소스볶음,밥,김치콩나물국,미니함박,909.0,598.0,1507.0
1828,2601,87,204,482,0,2016,2,201602,밥,시금치국,닭감자조림,밥,홍합미역국,등갈비김치찜,1268.0,672.0,1940.0
1767,2601,72,236,526,1,2016,2,201602,밥,쇠고기무국,탕수어,밥,된장찌개,쇠불고기,1014.0,523.0,1537.0
2250,2601,78,250,23,2,2016,2,201602,밥,냉이된장국,쇠고기장조림,맑은국,새우또띠아,쨔샤이무침,916.0,588.0,1504.0
1903,2601,77,254,367,3,2016,2,201602,낙지비빔밥,유부장국,고구마치즈구이,밥,순두부찌개,명태조림,910.0,489.0,1399.0
2135,2601,145,252,69,4,2016,2,201602,밥,대구찌개,마늘간장치킨,밥,설렁탕,김치전,763.0,597.0,1360.0
1870,2601,90,207,434,0,2016,2,201602,밥,쇠고기느타리국,갈치구이,밥,옹심이만두국,떡갈비조림,1298.0,645.0,1943.0
1819,2601,57,237,488,1,2016,2,201602,밥,콩나물국,돈육간장볶음,밥,콩비지찌개,해물까스/타르타르소스,899.0,610.0,1509.0
2301,2601,54,232,14,2,2016,2,201602,비빔밥,팽이장국,소세지피망볶음,밥,열무된장국,매운돼지갈비찜,1022.0,514.0,1536.0
1949,2601,56,261,335,3,2016,2,201602,밥,북어계란국,닭갈비,김밥,잔치국수,교자만두,917.0,531.0,1448.0
2137,2601,144,278,42,4,2016,2,201602,밥,수제비국,오징어볶음,밥,닭개장,삼치구이,766.0,585.0,1351.0
1728,2601,595,168,110,0,2016,2,201602,밥,얼갈이된장국,제육볶음,밥,버섯들깨탕,꽁치한마리구이,869.0,344.0,1213.0
2054,2624,127,182,261,2,2016,3,201603,밥,쇠고기미역국,주꾸미볶음,밥,된장찌개,버섯불고기,1127.0,631.0,1758.0
1988,2624,61,224,351,3,2016,3,201603,밥,근대된장국,탕수육,멸치주먹밥,우동,떡볶이,1000.0,473.0,1473.0
2215,2624,83,247,79,4,2016,3,201603,밥,부대찌개,가자미튀김,밥,오징어국,미트볼조림,837.0,673.0,1510.0
1923,2624,50,195,456,0,2016,3,201603,밥,콩나물국,닭갈비,밥,대구찌개,돈육굴소스볶음,1326.0,625.0,1951.0
1939,2624,47,212,426,1,2016,3,201603,밥,차돌박이찌개,고등어김치말이,카레덮밥,가쯔오장국,과일샐러드,1026.0,609.0,1635.0
2356,2624,43,225,0,2,2016,3,201603,밥,북어국,돈육장조림,밥,육개장,야채계란찜,901.0,523.0,1424.0
2034,2624,55,245,290,3,2016,3,201603,밥,고추장찌개,닭데리야끼조림,볶음밥,짬뽕,개성감자만두,847.0,525.0,1372.0
2165,2624,108,275,76,4,2016,3,201603,밥,배추된장국,수제돈가스,밥,연두부탕,코다리무조림,728.0,591.0,1319.0
2004,2624,61,183,376,0,2016,3,201603,밥,어묵국,돈육고추장볶음,밥,달래된장찌개,간장찜닭,1286.0,586.0,1872.0
1956,2624,38,231,399,1,2016,3,201603,밥,쑥국,소불고기,짜장잡채덮밥,계란파국,참치야채전,958.0,545.0,1503.0
2361,2624,50,213,0,2,2016,3,201603,곤드레밥,콩나물김치국,미니채소떡갈비,밥,뼈해장국,해물청경채볶음,998.0,531.0,1529.0
2003,2624,52,242,327,3,2016,3,201603,밥,사골우거지국,탕수어,토마토스파게티,양송이스프,미니햄버거,832.0,548.0,1380.0
2172,2624,118,277,57,4,2016,3,201603,밥,시금치국,훈제오리구이,밥,닭곰탕,임연수찜,757.0,521.0,1278.0
2025,2624,65,205,329,0,2016,3,201603,밥,꽃게탕,버섯불고기,밥,수제비국,아귀콩나물찜,1030.0,605.0,1635.0
1997,2624,41,208,378,1,2016,3,201603,밥,쇠고기샤브국,코다리강정,굴소스파인볶음밥,가쯔오장국,찹쌀순대볶음,917.0,585.0,1502.0
2346,2624,42,236,0,2,2016,3,201603,맑은국,땅콩조림,실곤약초무침,밥,알탕,동그랑땡전,963.0,544.0,1507.0
2027,2624,53,251,293,3,2016,3,201603,밥,북어계란국,쇠고기장조림,참치회덮밥,미소장국,군만두,876.0,507.0,1383.0
2192,2624,98,275,59,4,2016,3,201603,밥,닭개장,자반고등어구이,밥,냉이된장찌개,누룽지탕수육,861.0,523.0,1384.0
2051,2624,77,197,299,0,2016,3,201603,밥,얼갈이된장국,닭갈비,밥,콩비지찌개,유산슬,1193.0,637.0,1830.0
2068,2624,52,245,259,1,2016,3,201603,밥,옹심이만두국,주꾸미볶음,햄볶음밥,유부장국,돈육씨앗강정,892.0,465.0,1357.0
2346,2624,48,230,0,2,2016,3,201603,봄새싹비빔밥,쪽파국,오징어튀김,밥,어묵국,등갈비김치찜,1033.0,463.0,1496.0
2182,2624,36,248,158,3,2016,3,201603,밥,매운콩나물국,돈육굴소스볶음,주먹밥,잔치국수,또띠아피자,781.0,526.0,1307.0
2239,2643,103,254,47,4,2016,4,201604,밥,버섯들깨탕,갈치조림,밥,쇠고기미역국,순살깐풍기,661.0,591.0,1252.0
1993,2643,62,221,367,0,2016,4,201604,밥,순두부찌개,쇠불고기,밥,된장찌개,고등어조림,1237.0,614.0,1851.0
2000,2643,31,242,370,1,2016,4,201604,밥,북어국,모둠소시지구이,김치볶음밥,가쯔오장국,감자치즈구이,840.0,555.0,1395.0
2357,2643,37,249,0,2,2016,4,201604,밥,올갱이아욱국,제육볶음,밥,매운버섯국,찜닭,876.0,492.0,1368.0
1999,2643,47,258,339,3,2016,4,201604,밥,어묵국,매운돼지갈비찜,김밥,우동,야채튀김,853.0,524.0,1377.0
2209,2643,87,283,64,4,2016,4,201604,밥,배추된장국,순살양념치킨,밥,오징어국,미니함박,764.0,542.0,1306.0
1966,2643,82,203,392,0,2016,4,201604,밥,시래기국,훈제오리구이,밥,쇠고기무국,가자미찜,1225.0,536.0,1761.0
2103,2643,76,225,239,1,2016,4,201604,밥,부대찌개,쇠고기단호박조림,치킨마요덮밥,유부주머니국,떡볶이,771.0,500.0,1271.0
1959,2643,106,252,326,3,2016,4,201604,밥,수제비국,돈육굴소스볶음,비빔밥,팽이버섯장국,새우또띠아,969.0,562.0,1531.0
2149,2643,131,281,82,4,2016,4,201604,밥,냉이된장찌개,닭데리야끼조림,밥,들깨미역국,수제돈가스,579.0,582.0,1161.0
2007,2643,81,225,330,0,2016,4,201604,밥,배추된장국,돈육강정,밥,꽃게탕,유산슬,1120.0,525.0,1645.0
1973,2643,44,239,387,1,2016,4,201604,밥,육개장,꽁치한마리구이,낙지비빔밥,유부장국,새싹피자,980.0,449.0,1429.0
2334,2643,47,262,0,2,2016,4,201604,콩나물밥,근대된장국,매콤떡갈비조림,밥,어묵국,닭볶음탕,849.0,504.0,1353.0
2001,2643,66,264,312,3,2016,4,201604,밥,대구매운탕,쇠고기볶음,오므라이스,팽이버섯국,쫄면무침,940.0,531.0,1471.0
2132,2643,150,275,86,4,2016,4,201604,밥,북어국,등갈비김치찜,밥,순두부찌개,탕수어,698.0,557.0,1255.0
2065,2643,96,201,281,0,2016,4,201604,밥,콩나물국,돈간장불고기,밥,알탕,순살깐풍기,1227.0,528.0,1755.0
2061,2643,51,227,304,1,2016,4,201604,밥,쇠고기무국,주꾸미볶음,짜장덮밥,맑은국,쇠고기퀘사디아,795.0,568.0,1363.0
2338,2643,71,234,0,2,2016,4,201604,나물비빔밥,미소장국,궁중떡찜,밥,청국장찌개,코다리무조림,1028.0,490.0,1518.0
2122,2643,56,269,196,3,2016,4,201604,밥,미역국,양념파닭,참치주먹밥,비빔메밀국수,가쯔오장국,811.0,508.0,1319.0
2194,2643,139,282,28,4,2016,4,201604,밥,돈육김치찌개,미트볼조림,밥,들깨버섯탕,두부계란구이,652.0,507.0,1159.0
2039,2635,80,214,302,0,2016,5,201605,밥,시금치국,닭갈비,밥,북어국,고추장불고기,1242.0,551.0,1793.0
2027,2635,65,251,292,1,2016,5,201605,곤드레밥,무채국,모둠장조림,밥,탕수육,삼치구이,964.0,515.0,1479.0
2241,2635,150,244,0,2,2016,5,201605,밥,쇠고기샤브국,오징어볶음,카레덮밥,미소장국,수제미니햄버거,723.0,636.0,1359.0
1957,2635,101,233,344,0,2016,5,201605,밥,매운어묵국,훈제오리구이,밥,닭개장,가자미튀김,1216.0,591.0,1807.0
1980,2635,53,252,350,1,2016,5,201605,밥,콩나물국,버섯불고기,김치볶음밥/계란,가쯔오국,찹쌀순대볶음,1008.0,519.0,1527.0
2309,2635,60,266,0,2,2016,5,201605,단호박영양밥,시래기된장국,돈육칠리강정,밥,콩비지찌개,해물누룽지탕,915.0,423.0,1338.0
1975,2635,71,274,315,3,2016,5,201605,밥,오징어국,찜닭,돈까스김밥,잔치국수,멕시칸샐러드,753.0,532.0,1285.0
2102,2635,185,268,80,4,2016,5,201605,밥,된장찌개,매운돼지갈비찜,밥,쇠고기무국,코다리강정,761.0,517.0,1278.0
1952,2635,99,216,368,0,2016,5,201605,밥,감자고추장찌개,돈육굴소스볶음,밥,닭곰탕,주꾸미볶음,1180.0,594.0,1774.0
1963,2635,41,254,377,1,2016,5,201605,밥,들깨버섯탕,고등어김치말이,유부초밥,우동,떡볶이,899.0,633.0,1532.0
2307,2635,71,257,0,2,2016,5,201605,산채비빔밥,미소장국,치킨핑거,밥,뼈해장국,황태양념구이,856.0,456.0,1312.0
2040,2635,65,266,264,3,2016,5,201605,밥,열무된장국,미니채소떡갈비,새우살볶음밥,팽이장국,사천식탕수육,898.0,529.0,1427.0
2123,2635,169,287,56,4,2016,5,201605,밥,순두부찌개,닭오븐구이,밥,육개장,꽁치허브구이,653.0,487.0,1140.0
1982,2635,88,203,362,0,2016,5,201605,밥,북어콩나물국,쇠고기불고기,밥,수제비국,데리야끼파닭,1160.0,613.0,1773.0
2017,2635,74,234,310,1,2016,5,201605,밥,한방갈비탕,꼬지삼색전,참치회덮밥,맑은국,고구마치즈구이,1107.0,465.0,1572.0
2305,2635,72,258,0,2,2016,5,201605,낙지볶음밥,미역장국,탕수어,밥,된장찌개,등갈비김치찜,938.0,454.0,1392.0
2059,2635,64,285,227,3,2016,5,201605,밥,쇠고기해장국,갈치구이,짜장잡채밥,계란파국,과일샐러드,783.0,520.0,1303.0
2120,2635,163,291,61,4,2016,5,201605,밥,배추된장국,닭양념조림,밥,꽃게탕,돈육청경채볶음,660.0,493.0,1153.0
2056,2635,73,215,291,0,2016,5,201605,밥,콩나물김치국,누룽지탕수육,밥,해물순두부찌개,미니함박조림,1231.0,631.0,1862.0
2150,2635,50,250,185,1,2016,5,201605,밥,근대된장국,닭갈비,참치주먹밥,쌀국수,꽃맛살샐러드,921.0,535.0,1456.0
2317,2637,75,245,0,2,2016,6,201606,열무비빔밥,강된장찌개,오징어튀김,밥,어묵국,고추장불고기,916.0,490.0,1406.0
1997,2637,81,258,301,3,2016,6,201606,밥,오이미역냉국,모둠장조림,날치알볶음밥,유부장국,땅콩조림,850.0,483.0,1333.0
2114,2637,191,268,64,4,2016,6,201606,밥,차돌박이찌개,찜닭,밥,시래기국,수제돈까스,721.0,548.0,1269.0
1941,2637,115,192,389,1,2016,6,201606,밥,북어계란국,돈육굴소스볶음,가쯔오장국,미트볼케찹조림,계란찜,1244.0,629.0,1873.0
2339,2637,58,240,0,2,2016,6,201606,밥,참치김치찌개,순살깐풍기,밥,육개장,자반고등어구이,931.0,500.0,1431.0
1957,2637,69,252,359,3,2016,6,201606,밥,매운콩나물국,돼지갈비찜,충무김밥,열무물국수,오징어무침,829.0,506.0,1335.0
2155,2637,151,270,61,4,2016,6,201606,밥,된장찌개,오징어볶음,밥,어묵국,버섯불고기,697.0,509.0,1206.0
1915,2637,98,209,415,0,2016,6,201606,밥,북어콩나물국,제육볶음,밥,들깨버섯탕,삼치데리야끼구이,1243.0,590.0,1833.0
1908,2637,56,241,432,1,2016,6,201606,밥,배추된장국,닭양념조림,오므라이스,미소장국,훈제오리냉채,973.0,593.0,1566.0
2317,2637,60,260,0,2,2016,6,201606,카레덮밥,맑은국,떡갈비조림,밥,닭개장,해물청경채볶음,984.0,535.0,1519.0
1965,2637,73,263,336,3,2016,6,201606,밥,부대찌개,가자미양념찜,유부초밥,냉모밀국수,떡볶이,800.0,524.0,1324.0
2121,2637,165,291,60,4,2016,6,201606,밥,꽃게탕,돈육강정,밥,소고기미역국,유산슬,694.0,484.0,1178.0
1935,2637,101,257,344,0,2016,6,201606,밥,어묵국,레몬탕수육,밥,호박잎찌개,쇠불고기,1146.0,585.0,1731.0
1991,2637,49,248,349,1,2016,6,201606,밥,대구찌개,간장치킨,김밥/맑은국,비빔국수,콘샐러드,1091.0,645.0,1736.0
2332,2637,47,258,0,2,2016,6,201606,밥,시래기국,돈삼겹보쌈,밥,닭곰탕,찹쌀순대볶음,1022.0,467.0,1489.0
1967,2637,53,271,346,3,2016,6,201606,밥,쇠고기무국,매콤낙지볶음,작은밥/맑은국,토마토스파게티,양송이스프,877.0,588.0,1465.0
2132,2637,169,284,52,4,2016,6,201606,밥,도토리묵냉국,목살데리야끼구이,밥,순두부찌개,해물누룽지탕,805.0,475.0,1280.0
2014,2637,96,227,300,0,2016,6,201606,밥,배추된장국,훈제오리구이,밥,김치찌개,모둠장조림,1142.0,609.0,1751.0
2095,2637,63,253,226,1,2016,6,201606,밥,육개장,고등어구이,볶음밥/짜장소스,계란국,탕수만두,917.0,535.0,1452.0
2322,2637,67,248,0,2,2016,6,201606,밥,콩나물국,간장돼지갈비찜,밥,청국장찌개,아귀콩나물찜,820.0,487.0,1307.0
2163,2637,76,247,151,3,2016,6,201606,밥,버섯들깨찌개,닭오븐구이,주먹밥,김치말이국수,감자버터구이,886.0,446.0,1332.0
2242,2643,145,215,41,4,2016,7,201607,밥,수제비국,유자청제육볶음,밥,차돌박이된장찌개,깐풍기,879.0,513.0,1392.0
1980,2643,88,190,385,0,2016,7,201607,밥,감자고추장찌개,버섯불고기,밥,열무된장국,닭볶음탕,1292.0,582.0,1874.0
1986,2643,55,226,376,1,2016,7,201607,밥,쇠고기미역국,꽁치김치말이찜,굴소스파인볶음밥,맑은국,탕수어,952.0,551.0,1503.0
2363,2643,56,224,0,2,2016,7,201607,곤드레밥,가쯔오장국,닭강정,밥,시금치국,오징어볶음,939.0,484.0,1423.0
2001,2643,64,238,340,3,2016,7,201607,밥,된장찌개,갈치조림,밥,함박스테이크,단호박스프,857.0,494.0,1351.0
2168,2643,155,260,60,4,2016,7,201607,밥,우무묵냉국,갈릭돈까스,밥,알탕,동그랑땡전,863.0,534.0,1397.0
1946,2643,121,210,366,0,2016,7,201607,밥,호박잎찌개,돈육굴소스볶음,밥,부대찌개,가자미튀김,1115.0,630.0,1745.0
1966,2643,72,223,382,1,2016,7,201607,밥,건새우아욱국,순살파닭,볶음밥,쌀국수,수제핫도그,919.0,519.0,1438.0
2323,2643,79,241,0,2,2016,7,201607,나물비빔밥,오이냉국,사천식탕수육,밥,쇠고기샤브국,황태양념구이,866.0,483.0,1349.0
1999,2643,84,252,308,3,2016,7,201607,밥,배추된장국,매운주꾸미볶음,멸치주먹밥,물냉면,과일샐러드,781.0,550.0,1331.0
2138,2643,189,261,55,4,2016,7,201607,밥,북어계란국,등갈비김치찜,밥,오징어국,쇠고기장조림,867.0,503.0,1370.0
1966,2643,126,208,343,0,2016,7,201607,밥,순두부찌개,돈육떡강정,밥,느타리버섯국,고등어카레구이,1158.0,596.0,1754.0
2036,2643,111,233,263,1,2016,7,201607,밥,시래기국,목살데리야끼,콩나물밥,맑은국,실곤약초무침,888.0,424.0,1312.0
2281,2643,124,238,0,2,2016,7,201607,밥,사골우거지탕,미트볼조림,밥,동태찌개,치킨핑거,844.0,443.0,1287.0
2010,2643,115,255,263,3,2016,7,201607,밥,우묵콩국,고추장불고기,계란파국,유산슬,크랜베리단호박샐러드,733.0,446.0,1179.0
2073,2643,251,272,47,4,2016,7,201607,참치회덮밥,미소장국,고구마치즈구이,밥,돈육김치찌개,깐풍기,661.0,501.0,1162.0
1939,2643,277,180,247,0,2016,7,201607,밥,쇠고기미역국,불닭볶음,밥,콩가루배추국,돈까스,1086.0,584.0,1670.0
1929,2643,260,185,269,1,2016,7,201607,밥,청국장찌개,미니채소떡갈비,충무김밥,잔치국수,오징어무침,927.0,582.0,1509.0
2152,2643,299,192,0,2,2016,7,201607,밥,시금치국,동파삼겹수육,밥,어묵국,닭볶음탕,872.0,423.0,1295.0
1902,2643,340,204,197,3,2016,7,201607,밥,꽃게탕,훈제오리냉채,카레라이스,맑은국,순대야채볶음,816.0,434.0,1250.0
1914,2643,486,207,36,4,2016,7,201607,연복풍덮밥,도토리묵냉국,꽁치오븐구이,밥,아욱국,등뼈묵은지찜,671.0,472.0,1143.0
1785,2644,512,109,238,0,2016,8,201608,밥,갈치구이,닭살겨자냉채,밥,콩나물국,소불고기,1055.0,510.0,1565.0
1749,2644,460,167,268,1,2016,8,201608,열무보리비빔밥,팽이장국,꽃맛살볶음,밥,짬뽕수제비국,모둠장조림,829.0,515.0,1344.0
1976,2644,485,183,0,2,2016,8,201608,밥,버섯들깨탕,레몬탕수육,주먹밥,냉모밀국수,소고기퀘사디아,802.0,363.0,1165.0
1715,2644,467,200,262,3,2016,8,201608,밥,복숭아미역냉국,닭데리야끼조림,오므라이스,가쯔오장국,떡볶이,671.0,456.0,1127.0
1848,2644,538,212,46,4,2016,8,201608,밥,된장찌개,매콤돼지갈비찜,밥,쇠고기무국,쭈꾸미볶음,641.0,448.0,1089.0
1788,2644,421,180,255,0,2016,8,201608,밥,호박잎된장국,유자청제육볶음,밥,북어국,찜닭,1038.0,480.0,1518.0
1784,2644,392,182,286,1,2016,8,201608,밥,콩나물국,미니함박조림,작은밥,콩국수,멕시칸샐러드,874.0,470.0,1344.0
2045,2644,411,188,0,2,2016,8,201608,밥,사과오이냉국,장어강정,밥,닭개장,해물청경채볶음,842.0,451.0,1293.0
1734,2644,413,202,295,3,2016,8,201608,밥,시래기국,삼겹살오븐구이,볶음밥,스파게티/크림스프,치킨텐더,845.0,530.0,1375.0
1782,2644,587,215,60,4,2016,8,201608,불고기덮밥,맑은국,새우까스/탈탈소스,밥,김치찌개,삼치된장구이,708.0,410.0,1118.0
1764,2644,352,177,351,1,2016,8,201608,밥,닭곰탕,고등어조림,김밥볶음밥,미소장국,과일샐러드,1023.0,561.0,1584.0
2142,2644,311,191,0,2,2016,8,201608,밥,대구매운탕,오징어볶음,밥,콩비지찌개,돈육굴소스볶음,924.0,465.0,1389.0
1791,2644,274,215,364,3,2016,8,201608,밥,열무된장국,갈릭돈가스,유부초밥,김치우동,왕새우튀김,943.0,574.0,1517.0
2003,2644,345,237,59,4,2016,8,201608,단호박영양밥,도토리묵냉국,소고기숙주볶음,밥,된장찌개,훈제오리/무쌈/양파절임,754.0,532.0,1286.0
1912,2644,115,159,458,0,2016,8,201608,밥,꽃게탕,꽁치와사비구이,밥,무채국,돈육볶음,1266.0,729.0,1995.0
1961,2644,86,211,386,1,2016,8,201608,밥,배추된장국,칠리탕수육,김치볶음밥,유부장국,허니버터옥수수,1145.0,563.0,1708.0
2322,2644,113,209,0,2,2016,8,201608,밥,해물된장찌개,닭볶음,밥,감자국,등갈비김치찜,941.0,588.0,1529.0
1972,2644,123,241,308,3,2016,8,201608,밥,육개장,동태무조림,콩국수,작은밥,춘권,885.0,508.0,1393.0
2111,2644,194,269,70,4,2016,8,201608,밥,떡국,마늘치킨,밥,콩나물냉국,주꾸미볶음,813.0,489.0,1302.0
1958,2644,132,202,352,0,2016,8,201608,밥,순두부찌개,소불고기,밥,차돌박이찌개,닭갈비,1258.0,568.0,1826.0
2038,2644,96,242,268,1,2016,8,201608,밥,버섯매운탕,갈치구이,굴소스해물볶음밥,맑은국,망고드레싱샐러드,901.0,514.0,1415.0
2310,2644,98,236,0,2,2016,8,201608,낙지비빔밥,가쯔오장국,계란말이,밥,청국장찌개,깐풍육,915.0,498.0,1413.0
2084,2769,99,250,336,3,2016,9,201609,밥,오징어국,목살데리야끼,참치주먹밥,로제파스타/스프,고구마치즈구이,953.0,468.0,1421.0
2237,2769,177,279,76,4,2016,9,201609,밥,시래기된장국,닭찜,밥,알탕,돈육장조림,832.0,460.0,1292.0
1997,2769,100,225,447,0,2016,9,201609,밥,쇠고기샤브국,오징어볶음,밥,어묵국,제육볶음,1164.0,554.0,1718.0
1980,2769,59,253,477,1,2016,9,201609,밥,부대찌개,가자미카레튀김,볶음밥/짜장소스,유부장국,멕시칸샐러드,784.0,560.0,1344.0
2463,2769,65,241,0,2,2016,9,201609,곤드레밥,두부맑은국,돈육떡강정,밥,얼갈이된장국,닭오븐구이,926.0,504.0,1430.0
2007,2769,69,255,438,3,2016,9,201609,밥,된장찌개,오리고추장볶음,김밥,잔치국수,꽃맛살샐러드,758.0,548.0,1306.0
2258,2769,137,288,86,4,2016,9,201609,밥,황태맑은국,유린기,밥,쇠고기미역국,자반고등어구이,682.0,485.0,1167.0
1959,2769,328,176,306,0,2016,9,201609,밥,시래기국,닭볶음,볶음밥,쌀국수,미니햄버거,924.0,504.0,1428.0
2098,2769,511,108,52,1,2016,9,201609,밥,토란국,매운돼지갈비찜,밥,참치김치찌개,주꾸미볶음,820.0,238.0,1058.0
1872,2769,167,180,550,0,2016,9,201609,밥,어묵국,오리훈제고추장볶음,밥,수제비국,탕평채,1271.0,662.0,1933.0
1885,2769,69,227,588,1,2016,9,201609,밥,얼갈이된장국,레몬탕수육,콩나물밥,맑은국,장어강정,1039.0,627.0,1666.0
2465,2769,58,246,0,2,2016,9,201609,열무비빔밥,팽이장국,너비아니구이,밥,고추장찌개,쇠고기모둠장조림,1068.0,603.0,1671.0
1976,2769,137,253,403,3,2016,9,201609,밥,쇠고기무국,임연수찜,유부초밥,꼬지어묵우동,모듬떡볶이,891.0,533.0,1424.0
2227,2769,165,278,99,4,2016,9,201609,밥,오징어국,소고기숙주볶음,밥,콩나물국,수제돈까스,716.0,562.0,1278.0
