id,Body Mass (g)
0,4405.306785685434
1,5596.036589375179
2,3672.7702096175776
3,3436.5169117825035
4,3397.472729587264
5,4218.471234027094
6,4595.293261565068
7,5214.9180418665255
8,4794.061746343696
9,3911.0953880061043
10,4249.198069771792
11,4581.915882861977
12,4727.663291629051
13,4686.023895909563
14,5002.358192979648
15,5161.656117445325
16,4243.057415209451
17,3962.047545180007
18,3552.9583867127653
19,3630.3915091635386
20,4257.018950033609
21,5499.71118439374
22,5381.805691171642
23,4132.638422892888
24,3513.1445752592836
25,4597.201202985442
26,3604.0710702786873
27,4017.567087475581
28,4200.83324522111
29,4784.74111315226
30,3667.0476729797765
31,4758.623195179702
32,3559.9297849351174
33,4979.44827690388
34,4038.228183552405
35,3230.69470069365
36,4547.394744527226
37,3830.648638920777
38,4061.2493079091732
39,4604.236248908872
40,4148.651325672052
41,3764.3166191162086
42,3950.776227471992
43,5325.504911687784
44,3820.5580624889753
45,4694.591457233551
46,3710.1131438066727
47,4331.015694347318
48,4728.512364437618
49,5462.138195861035
50,3850.2404391510945
51,4131.734114825864
52,3398.2371539000656
53,4287.788810954036
54,4212.156186794818
55,4052.1165094244434
56,4715.96540445873
57,4148.997904224911
58,4751.348295123488
59,3758.1944546370723
60,4193.870973661823
61,3685.062184624835
62,4050.4400223237403
63,5454.805908838491
64,3396.981952929279
65,4207.175051113649
66,4211.8844483217
67,4629.962560475318
68,3864.92529856637
69,3984.273564333361
70,4758.931571944162
71,3329.696742071551
72,3560.2845434077853
73,3599.3771097219915
74,5358.59588866423
75,4448.5754355209465
76,3443.43606610588
77,3974.1990612559803
78,5296.184609191054
79,4787.785083062793
80,4112.680852018666
81,3522.196244817118
82,4269.678736193777
83,4800.757213223595
84,5196.769127192719
85,4137.530109991999
86,5234.11565193595
87,4235.963367134417
88,3614.720026484399
89,5055.110646397552
90,4491.81119888333
91,3634.4803681191574
92,3730.174917248333
93,3834.437013396439
94,3438.5679118239286
95,3530.644020586171
96,3686.550571296157
97,3202.9277218009493
98,4972.822912225243
99,4189.665370332625
100,3566.110751767099
101,3361.014880309348
102,3433.00055855352
103,5303.521677384433
104,5815.570732662337
105,3344.6951943726685
106,5215.322340202551
107,5272.889292565289
108,4260.261826065999
109,3525.031707489648
110,4484.995825490871
111,3439.711451012104
112,4188.352764663484
113,3970.443140985549
114,5259.176833762309
115,3925.7414347608765
116,3707.1227412798416
117,3600.2003081446946
118,4157.732528295656
119,3912.9709619254677
120,3979.3264795311948
121,5142.3472509779
122,3635.3907739274446
123,4467.413078098378
124,4137.349071480736
125,4079.7372060542557
126,5164.134577432282
127,4269.890211782463
128,3552.2146915088865
129,3865.73190836132
130,3978.7693866319323
131,3987.61056857005
132,5259.049917302296
133,5209.169395108291
134,5131.372773781289
135,3900.0923061169697
136,3718.483310692095
137,3553.0529559991287
138,4684.971394825729
139,3541.92178777357
140,3891.697894754716
141,4545.619977750363
142,3413.098671958128
143,3313.686762863379
144,4351.499296902288
145,3523.356637101303
146,4616.27426184509
147,3766.036682813276
148,5319.789326844149
149,4253.685254137798
150,5344.6556128304255
151,3486.659702101192
152,4979.568501357128
153,5317.893326214724
154,4122.619082115425
155,5552.617841800777
156,3579.189640259784
157,4181.78629263561
158,3670.4419885305997
159,3486.6089676873853
160,3902.2260949070237
161,3529.072062095678
162,3318.1814041177286
163,3174.7315962774437
164,5199.499579423991
165,3581.244667837983
166,5358.190221255547
167,4719.6201143049775
168,3888.6019936270327
169,3737.7041182698913
170,5487.661452826283
171,3507.594238009357
172,5323.197391464687
173,3480.1758105245117
174,3500.3753100772255
175,4136.311290644457
176,4277.791375528658
177,4580.941848926039
178,5272.042229678812
179,3444.385933539046
180,3959.567337851933
181,4364.680689244956
182,3969.0087585436913
183,4464.73260036063
184,4502.269331768388
185,4452.426361002653
186,4854.960259338792
187,5226.790798425814
188,3437.2012521072334
189,3170.788095269194
190,4128.657742636675
191,3696.3712904480526
192,3952.9834819208163
193,4201.045577175866
194,4980.575011466621
195,5283.522563584728
196,4296.893714555519
197,5317.894310928887
198,3647.4274111917302
199,3554.905887345887
200,3792.3875614230215
201,4643.982314852006
202,3811.3866400936854
203,4731.3266754138185
204,4279.999909853948
205,3561.3743159928654
206,3703.7216940896787
207,4251.912364728785
208,4755.987472697952
209,4972.086617854086
210,3366.0232128522443
211,3482.1382112114716
212,3335.499761280822
213,3761.740325067845
214,3719.6241875279734
215,3861.2980844193426
216,5388.242088236863
217,3756.272192748674
218,4271.707178968197
219,3989.7708445966623
220,3566.770239841527
221,3578.324432539986
222,4682.227173547362
223,4114.003847372852
224,4733.0488455095665
225,4692.991654763289
226,4110.209257924578
227,4116.685171628707
