iter	Passed	Remaining
0	16	16644
1	32	16252
2	48	15977
3	62	15646
4	79	15748
5	94	15643
6	109	15583
7	127	15850
8	143	15816
9	160	15913
10	176	15865
11	195	16103
12	213	16176
13	228	16115
14	245	16099
15	260	16043
16	277	16070
17	295	16120
18	312	16157
19	331	16251
20	352	16420
21	371	16505
22	389	16544
23	407	16560
24	424	16558
25	444	16648
26	461	16637
27	481	16715
28	497	16643
29	515	16653
30	532	16644
31	548	16589
32	567	16634
33	586	16661
34	601	16576
35	617	16539
36	636	16570
37	652	16519
38	671	16544
39	687	16496
40	702	16434
41	717	16364
42	733	16321
43	749	16278
44	764	16231
45	781	16211
46	798	16199
47	818	16229
48	835	16210
49	851	16176
50	867	16144
51	883	16099
52	898	16051
53	914	16019
54	930	15989
55	947	15972
56	963	15946
57	982	15960
58	998	15921
59	1014	15897
60	1032	15886
61	1048	15860
62	1064	15832
63	1080	15800
64	1097	15789
65	1113	15754
66	1128	15714
67	1145	15703
68	1161	15669
69	1180	15677
70	1195	15647
71	1213	15646
72	1231	15635
73	1247	15606
74	1263	15577
75	1279	15560
76	1298	15569
77	1317	15568
78	1334	15552
79	1354	15575
80	1371	15563
81	1390	15565
82	1407	15545
83	1427	15567
84	1445	15557
85	1461	15535
86	1478	15514
87	1496	15504
88	1512	15478
89	1529	15461
90	1544	15424
91	1560	15405
92	1575	15368
93	1592	15347
94	1614	15382
95	1631	15358
96	1647	15334
97	1663	15313
98	1680	15295
99	1697	15278
100	1713	15254
101	1730	15236
102	1746	15210
103	1765	15206
104	1780	15174
105	1796	15153
106	1814	15143
107	1831	15127
108	1847	15101
109	1865	15091
110	1881	15069
111	1902	15083
112	1919	15063
113	1935	15039
114	1951	15014
115	1969	15009
116	1986	14992
117	2003	14977
118	2019	14949
119	2036	14931
120	2054	14925
121	2070	14900
122	2085	14872
123	2102	14854
124	2119	14833
125	2134	14806
126	2160	14849
127	2175	14822
128	2193	14807
129	2209	14789
130	2226	14771
131	2245	14763
132	2261	14741
133	2280	14739
134	2299	14734
135	2316	14715
136	2332	14694
137	2348	14672
138	2365	14651
139	2381	14631
140	2398	14609
141	2413	14585
142	2432	14578
143	2452	14577
144	2469	14560
145	2487	14552
146	2506	14544
147	2524	14534
148	2543	14524
149	2560	14509
150	2576	14487
151	2594	14472
152	2612	14460
153	2628	14439
154	2646	14427
155	2663	14412
156	2682	14405
157	2700	14389
158	2717	14372
159	2735	14362
160	2752	14342
161	2771	14338
162	2791	14332
163	2811	14330
164	2828	14315
165	2845	14298
166	2864	14286
167	2881	14268
168	2900	14262
169	2924	14280
170	2953	14317
171	2969	14296
172	2986	14278
173	3001	14250
174	3019	14233
175	3035	14209
176	3050	14185
177	3068	14170
178	3085	14152
179	3101	14129
180	3117	14106
181	3135	14090
182	3153	14076
183	3169	14055
184	3185	14033
185	3203	14018
186	3219	13997
187	3236	13980
188	3254	13964
189	3274	13959
190	3293	13948
191	3312	13941
192	3331	13930
193	3348	13910
194	3365	13891
195	3381	13871
196	3399	13858
197	3416	13839
198	3435	13826
199	3453	13815
200	3472	13803
201	3489	13784
202	3508	13773
203	3524	13752
204	3542	13737
205	3559	13720
206	3578	13709
207	3595	13692
208	3613	13674
209	3631	13659
210	3650	13649
