id,quality
1,5
2,6
3,6
4,6
5,6
6,6
7,6
8,6
9,5
10,6
11,6
12,6
13,7
14,6
15,5
16,6
17,6
18,6
19,5
20,7
21,5
22,7
23,5
24,5
25,6
26,5
27,7
28,6
29,6
30,6
31,6
32,6
33,7
34,6
35,7
36,6
37,7
38,6
39,6
40,5
41,5
42,6
43,5
44,6
45,6
46,7
47,6
48,6
49,7
50,5
51,6
52,5
53,6
54,6
55,5
56,6
57,8
58,6
59,5
60,6
61,7
62,6
63,7
64,5
65,6
66,4
67,5
68,5
69,6
70,6
71,4
72,6
73,5
74,7
75,5
76,6
77,6
78,6
79,5
80,6
81,6
82,5
83,5
84,6
85,5
86,6
87,7
88,6
89,5
90,5
91,7
92,6
93,5
94,5
95,5
96,6
97,6
98,7
99,5
100,7
101,6
102,5
103,5
104,6
105,7
106,5
107,6
108,6
109,5
110,5
111,5
112,6
113,6
114,5
115,5
116,6
117,6
118,5
119,6
120,6
121,6
122,6
123,7
124,7
125,5
126,6
127,6
128,5
129,5
130,7
131,6
132,6
133,5
134,5
135,5
136,6
137,6
138,5
139,5
140,5
141,5
142,5
143,6
144,7
145,6
146,5
147,7
148,6
149,6
150,6
151,7
152,6
153,6
154,6
155,5
156,6
157,6
158,5
159,5
160,8
161,6
162,6
163,6
164,7
165,6
166,6
167,5
168,5
169,6
170,6
171,7
172,6
173,6
174,6
175,5
176,6
177,5
178,7
179,5
180,5
181,6
182,6
183,6
184,5
185,6
186,5
187,6
188,7
189,5
190,7
191,6
192,6
193,6
194,5
195,7
196,6
197,5
198,6
199,7
200,5
201,5
202,6
203,6
204,6
205,5
206,6
207,6
208,6
209,6
210,6
211,7
212,6
213,6
214,6
215,7
216,5
217,6
218,5
219,6
220,5
221,6
222,5
223,6
224,7
225,7
226,8
227,5
228,8
229,6
230,6
231,5
232,5
233,5
234,6
235,5
236,6
237,6
238,4
239,6
240,6
241,5
242,5
243,5
244,5
245,5
246,7
247,5
248,6
249,5
250,5
251,6
252,5
253,8
254,7
255,6
256,5
257,6
258,5
259,6
260,6
261,7
262,6
263,6
264,6
265,6
266,7
267,6
268,6
269,5
270,7
271,5
272,5
273,6
274,6
275,7
276,7
277,7
278,5
279,6
280,6
281,5
282,7
283,6
284,6
285,5
286,6
287,6
288,6
289,6
290,6
291,5
292,6
293,6
294,5
295,7
296,6
297,7
298,6
299,5
300,7
301,6
302,6
303,7
304,6
305,6
306,6
307,6
308,7
309,6
310,5
311,5
312,6
313,5
314,6
315,7
316,6
317,6
318,6
319,5
320,6
321,7
322,6
323,7
324,6
325,6
326,6
327,6
328,5
329,6
330,5
331,6
332,5
333,5
334,5
335,5
336,5
337,6
338,5
339,6
340,5
341,7
342,6
343,7
344,6
345,5
346,5
347,6
348,6
349,5
350,5
351,5
352,5
353,6
354,5
355,6
356,7
357,5
358,6
359,6
360,6
361,5
362,7
363,6
364,5
365,5
366,5
367,5
368,6
369,6
370,6
371,6
372,5
373,7
374,5
375,5
376,6
377,5
378,5
379,5
380,7
381,5
382,7
383,6
384,6
385,5
386,5
387,5
388,5
389,5
390,6
391,5
392,7
393,7
394,6
395,6
396,6
397,6
398,6
399,6
400,6
401,6
402,6
403,6
404,7
405,6
406,5
407,6
408,5
409,7
410,5
411,6
412,6
413,6
414,5
415,5
416,6
417,7
418,7
419,6
420,5
421,6
422,6
423,7
424,6
425,6
426,7
427,6
428,5
429,6
430,6
431,6
432,6
433,6
434,5
435,7
436,7
437,7
438,6
439,6
440,7
441,5
442,6
443,6
444,6
445,6
